id,utterance,label,label_num,file_id,start,end,session,original_emotion,utterance_num
Ses02F_impro01_F000,"Hi. Excuse me.  Um, I'd like to put in this application for my registration.",neutral,3,Ses02F_impro01_,5.3661,9.615,Session2,neu,0
Ses02F_impro01_M000,Hi.,neutral,3,Ses02F_impro01_,5.8186,7.253,Session2,neu,1
Ses02F_impro01_M001,"Okay.  Let me see here.  Um, we need--we need your original birth certificate.",neutral,3,Ses02F_impro01_,9.8327,15.9334,Session2,neu,2
Ses02F_impro01_F001,My--my original birth certificate?  But I don't carry that with me.,sur,-1,Ses02F_impro01_,16.484,19.7791,Session2,sur,3
Ses02F_impro01_M002,Right.  Well.  We still need it.,neutral,3,Ses02F_impro01_,20.5395,23.2318,Session2,neu,4
Ses02F_impro01_F002,"Well, I have my driver's license, does that work?",xxx,-1,Ses02F_impro01_,23.369,26.0214,Session2,xxx,5
Ses02F_impro01_M003,"No. no  Uh, no one told you that you needed your original birth certificate.",xxx,-1,Ses02F_impro01_,25.7699,32.1839,Session2,xxx,6
Ses02F_impro01_F003,No it doesn't say it on the form.,fru,-1,Ses02F_impro01_,30.713,32.8369,Session2,fru,7
Ses02F_impro01_F004,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification.",fru,-1,Ses02F_impro01_,32.8981,37.88,Session2,fru,8
Ses02F_impro01_F005,I mean if I had known--I would have brought it.,fru,-1,Ses02F_impro01_,38.0286,40.3056,Session2,fru,9
Ses02F_impro01_M004,um Sorry.,neutral,3,Ses02F_impro01_,38.1175,39.5783,Session2,neu,10
Ses02F_impro01_M005,"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh...",fru,-1,Ses02F_impro01_,40.4471,45.0994,Session2,fru,11
Ses02F_impro01_F006,"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is.",fru,-1,Ses02F_impro01_,45.0441,50.0436,Session2,fru,12
Ses02F_impro01_F007,It's lunch hour.,fru,-1,Ses02F_impro01_,50.0639,51.9832,Session2,fru,13
Ses02F_impro01_M006,Right.  It's the D.M.V..,fru,-1,Ses02F_impro01_,50.0639,51.963,Session2,fru,14
Ses02F_impro01_M007,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?",fru,-1,Ses02F_impro01_,51.9832,57.8604,Session2,fru,15
Ses02F_impro01_F008,"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again.",fru,-1,Ses02F_impro01_,57.5135,66.671,Session2,fru,16
Ses02F_impro01_F009,I have my passport and I have my driver's license. And that's all I have.,fru,-1,Ses02F_impro01_,66.6912,72.0669,Session2,fru,17
Ses02F_impro01_M008,"Alright, I don't know what to tell you right.",fru,-1,Ses02F_impro01_,70.1056,72.0855,Session2,fru,18
Ses02F_impro01_M009,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-",fru,-1,Ses02F_impro01_,72.2875,79.2332,Session2,fru,19
Ses02F_impro01_F010,"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me.",fru,-1,Ses02F_impro01_,78.1061,87.7428,Session2,fru,20
Ses02F_impro01_M010,I can't.,fru,-1,Ses02F_impro01_,87.4602,88.6522,Session2,fru,21
Ses02F_impro01_F011,And I can give you my social--,fru,-1,Ses02F_impro01_,88.3022,89.9978,Session2,fru,22
Ses02F_impro01_M011,"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-",fru,-1,Ses02F_impro01_,88.6926,97.7625,Session2,fru,23
Ses02F_impro01_F012,"Well, I can give you my Social Security Number.",fru,-1,Ses02F_impro01_,96.4709,99.7098,Session2,fru,24
Ses02F_impro01_M012,"No, it's--",fru,-1,Ses02F_impro01_,100.014,101.5823,Session2,fru,25
Ses02F_impro01_F013,And I can tell you where I was born and what time and by who and what day.,fru,-1,Ses02F_impro01_,99.8449,105.6836,Session2,fru,26
Ses02F_impro01_M013,"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--",fru,-1,Ses02F_impro01_,105.0169,111.4287,Session2,fru,27
Ses02F_impro01_F014,I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.,fru,-1,Ses02F_impro01_,111.5773,119.8805,Session2,fru,28
Ses02F_impro01_M014,"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--",fru,-1,Ses02F_impro01_,119.606,125.5354,Session2,fru,29
Ses02F_impro01_F015,"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me.",fru,-1,Ses02F_impro01_,124.1293,132.0469,Session2,fru,30
Ses02F_impro01_M015,I can't.  There's nothing I can do.  I'm sorry.,fru,-1,Ses02F_impro01_,132.1517,135.6478,Session2,fru,31
Ses02F_impro01_F016,Well.  [BREATHING] I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-,fru,-1,Ses02F_impro01_,135.5643,145.6458,Session2,fru,32
Ses02F_impro01_M016,The line--,xxx,-1,Ses02F_impro01_,141.989,143.5245,Session2,xxx,33
Ses02F_impro01_F017,"I really need this done today.  As you can see, the deadline is almost up and I can't come back.",fru,-1,Ses02F_impro01_,145.7064,150.8614,Session2,fru,34
Ses02F_impro01_M017,"Ok, but you're right now you're holding up more people in line by standing here-- and letting",angry,0,Ses02F_impro01_,150.5061,155.603,Session2,ang,35
Ses02F_impro01_F018,"Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?",angry,0,Ses02F_impro01_,154.0504,159.7574,Session2,ang,36
Ses02F_impro01_M018,"I--when you're going to the D.M.V., you usually need pretty professional identification--",fru,-1,Ses02F_impro01_,158.9194,164.5611,Session2,fru,37
Ses02F_impro01_M019,"You know, Official documentation--",angry,0,Ses02F_impro01_,164.5945,166.9199,Session2,ang,38
Ses02F_impro01_F019,"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that.",angry,0,Ses02F_impro01_,164.674,169.8898,Session2,ang,39
Ses02F_impro01_M020,"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--",fru,-1,Ses02F_impro01_,167.9301,173.4579,Session2,fru,40
Ses02F_impro01_F020,With your driver's license and your passport.  Just like everybody else.,angry,0,Ses02F_impro01_,171.5438,175.7488,Session2,ang,41
Ses02F_impro01_M021,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?",fru,-1,Ses02F_impro01_,175.6255,182.0081,Session2,fru,42
Ses02F_impro01_F021,"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway.",angry,0,Ses02F_impro01_,180.6986,190.9121,Session2,ang,43
Ses02F_impro01_M022,"All right.  Well, um, you know, I'd love to help you, but--nothing I can do.",fru,-1,Ses02F_impro01_,190.982,195.9117,Session2,fru,44
Ses02F_impro01_M023,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",fru,-1,Ses02F_impro01_,195.9319,204.2806,Session2,fru,45
Ses02F_impro01_F022,Do you have a supervisor?,fru,-1,Ses02F_impro01_,202.8414,205.0638,Session2,fru,46
Ses02F_impro01_M024,I am the supervisor.  So--,fru,-1,Ses02F_impro01_,204.7828,208.4711,Session2,fru,47
Ses02F_impro01_F023,"Well, thank you very much.  You've been very helpful.",fru,-1,Ses02F_impro01_,209.2752,214.5392,Session2,fru,48
Ses02F_impro02_F000,It's almost time for me to go.,sad,2,Ses02F_impro02_,8.9084,11.9078,Session2,sad,0
Ses02F_impro02_M000,I can't believe that--now--are you sure this is absolutely necessary?  Like--,xxx,-1,Ses02F_impro02_,11.5255,18.7886,Session2,xxx,1
Ses02F_impro02_F001,"There's nothing I can do.  I mean, the government you know--",sad,2,Ses02F_impro02_,18.3682,24.3889,Session2,sad,2
Ses02F_impro02_M001,What--what're we gonna do here?  I can't--I can't do this by myself.  I--,fru,-1,Ses02F_impro02_,24.1978,31.0213,Session2,fru,3
Ses02F_impro02_F002,"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can.",sad,2,Ses02F_impro02_,30.6582,37.9405,Session2,sad,4
Ses02F_impro02_M002,"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow.",fru,-1,Ses02F_impro02_,37.8258,47.7648,Session2,fru,5
Ses02F_impro02_F003,I don't think so.,sad,2,Ses02F_impro02_,46.8146,49.4112,Session2,sad,6
