id,utterance
Ses02F_impro01_F000,"Hi. Excuse me.  Um, I'd like to put in this application for my registration."
Ses02F_impro01_M000,Hi.
Ses02F_impro01_M001,"Okay.  Let me see here.  Um, we need--we need your original birth certificate."
Ses02F_impro01_F001,My--my original birth certificate?  But I don't carry that with me.
Ses02F_impro01_M002,Right.  Well.  We still need it.
Ses02F_impro01_F002,"Well, I have my driver's license, does that work?"
Ses02F_impro01_M003,"No. no  Uh, no one told you that you needed your original birth certificate."
Ses02F_impro01_F003,No it doesn't say it on the form.
Ses02F_impro01_F004,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification."
Ses02F_impro01_F005,I mean if I had known--I would have brought it.
Ses02F_impro01_M004,um Sorry.
Ses02F_impro01_M005,"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh..."
Ses02F_impro01_F006,"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is."
Ses02F_impro01_F007,It's lunch hour.
Ses02F_impro01_M006,Right.  It's the D.M.V..
Ses02F_impro01_M007,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?"
Ses02F_impro01_F008,"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again."
Ses02F_impro01_F009,I have my passport and I have my driver's license. And that's all I have.
Ses02F_impro01_M008,"Alright, I don't know what to tell you right."
Ses02F_impro01_M009,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-"
Ses02F_impro01_F010,"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me."
Ses02F_impro01_M010,I can't.
Ses02F_impro01_F011,And I can give you my social--
Ses02F_impro01_M011,"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-"
Ses02F_impro01_F012,"Well, I can give you my Social Security Number."
Ses02F_impro01_M012,"No, it's--"
Ses02F_impro01_F013,And I can tell you where I was born and what time and by who and what day.
Ses02F_impro01_M013,"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--"
Ses02F_impro01_F014,I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.
Ses02F_impro01_M014,"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--"
Ses02F_impro01_F015,"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me."
Ses02F_impro01_M015,I can't.  There's nothing I can do.  I'm sorry.
Ses02F_impro01_F016,Well.  [BREATHING] I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-
Ses02F_impro01_M016,The line--
Ses02F_impro01_F017,"I really need this done today.  As you can see, the deadline is almost up and I can't come back."
Ses02F_impro01_M017,"Ok, but you're right now you're holding up more people in line by standing here-- and letting"
Ses02F_impro01_F018,"Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?"
Ses02F_impro01_M018,"I--when you're going to the D.M.V., you usually need pretty professional identification--"
Ses02F_impro01_M019,"You know, Official documentation--"
Ses02F_impro01_F019,"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that."
Ses02F_impro01_M020,"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--"
Ses02F_impro01_F020,With your driver's license and your passport.  Just like everybody else.
Ses02F_impro01_M021,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?"
Ses02F_impro01_F021,"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway."
Ses02F_impro01_M022,"All right.  Well, um, you know, I'd love to help you, but--nothing I can do."
Ses02F_impro01_M023,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know."
Ses02F_impro01_F022,Do you have a supervisor?
Ses02F_impro01_M024,I am the supervisor.  So--
Ses02F_impro01_F023,"Well, thank you very much.  You've been very helpful."
Ses02F_impro02_F000,It's almost time for me to go.
Ses02F_impro02_M000,I can't believe that--now--are you sure this is absolutely necessary?  Like--
Ses02F_impro02_F001,"There's nothing I can do.  I mean, the government you know--"
Ses02F_impro02_M001,What--what're we gonna do here?  I can't--I can't do this by myself.  I--
Ses02F_impro02_F002,"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can."
Ses02F_impro02_M002,"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow."
Ses02F_impro02_F003,I don't think so.
Ses02F_impro02_M003,"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--"
Ses02F_impro02_F004,"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile."
Ses02F_impro02_F005,You could send me pictures.
Ses02F_impro02_M004,It's not going to be the same.
Ses02F_impro02_M005,"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--"
Ses02F_impro02_F006,"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--"
Ses02F_impro02_F007,"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay."
Ses02F_impro02_M006,This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.
Ses02F_impro02_F008,"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--"
Ses02F_impro02_M007,But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--
Ses02F_impro02_F009,You can just remember it for me.
Ses02F_impro02_M008,I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--
Ses02F_impro02_F010,"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it."
Ses02F_impro02_F011,"I mean, it's just as hard for me, but--I know that we can do it, you know"
Ses02F_impro02_M009,"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--"
Ses02F_impro02_M010,...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.
Ses02F_impro02_F012,I don't want you in danger.  And I don't want her in danger.
Ses02F_impro02_M011,I don't want you in danger.  Where are you going?  You're going over to war.
Ses02F_impro02_F013,I have no choice. There's nothing I can do.
Ses02F_impro02_M012,All right.
Ses02F_impro03_F000,"Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?"
Ses02F_impro03_M000,What?
Ses02F_impro03_F001,"Well, guess.  Guess, guess, guess, guess."
Ses02F_impro03_M001,"Um, you--"
Ses02F_impro03_F002,Don't look at my left hand.
Ses02F_impro03_M002,No.  Let me see.
Ses02F_impro03_M003,"Oh, no way."
Ses02F_impro03_F003,"He proposed.  He proposed.  Well, and I said yes, of course. [LAUGHTER]"
Ses02F_impro03_M004,That is great.  You look radiant.  I should've guess.
Ses02F_impro03_F004,I'm so excited.
Ses02F_impro03_M005,"Well, Tell me about him.  What happened."
Ses02F_impro03_F005,"Remember how we had that date?  And I was like, oh yeah, this is a date, whatever."
Ses02F_impro03_F006,"So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird."
Ses02F_impro03_F007,"So, he--so we walked down to the pier and there's like these lights--like these little, like lights-- and we're like what's that? And he's like I don't know let's go find out."
Ses02F_impro03_F008,So we walked down there and there's-[LAUGHTER]-And there's- this huge like ten foot heart in candles on the beach--
Ses02F_impro03_M006,What?
Ses02F_impro03_F009,"like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out."
Ses02F_impro03_M007,That--that is the most romantic thing I have ever heard.
Ses02F_impro03_F010,"I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea."
Ses02F_impro03_M008,"Wow.  Yeah, 'cause yeah I don't know I'm sure if he--oh yeah he definitely had--would have had to have someone else--"
Ses02F_impro03_F011,'Cause- 'Cause he was with me. You didn't do it did you?
Ses02F_impro03_M009,"Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it."
Ses02F_impro03_F012,You didn't know anything?
Ses02F_impro03_M010,No. I'm just as happy as you are.  This is--
Ses02F_impro03_F013,"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--"
Ses02F_impro03_M011,"So, I mean--it's good though."
Ses02F_impro03_F014,"It is good.  It's totally good.  I mean, it like oh, you know."
Ses02F_impro03_M012,"Yeah, I know.  Wow.  I'm shaking.  I can't even--"
Ses02F_impro03_F015,I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out
Ses02F_impro03_F016,"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--"
Ses02F_impro03_M013,"Oh. Do they--do they know yet? Have you told them? Oh, that's--"
Ses02F_impro03_F017,"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--"
Ses02F_impro03_M014,That's great.  Yeah.
Ses02F_impro03_F018,"So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--"
Ses02F_impro03_M015,Okay. You know--you know where?  Or--
Ses02F_impro03_F019,"I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,"
Ses02F_impro03_M016,"Uh, huh. I mean, you know, it's spring--It'll be--"
Ses02F_impro03_F020,"But It's sort of hard 'cause the weather is so unpredictable and then if it's like cold that day.  Or if it's too hot, you know, it's like--but um--"
Ses02F_impro03_M017,Spring's nice though.
Ses02F_impro03_F021,"Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy"
Ses02F_impro03_M018,"Yeah, that is--how long you guys been together now?"
Ses02F_impro03_F022,Two and a half years. [LAUGHTER]
Ses02F_impro03_M019,Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER]
Ses02F_impro03_F023,Thank you. Thank you so much.
Ses02F_impro03_M020,"Yeah, I'd love to be in that same situation some day, but, wow- so-"
Ses02F_impro03_F024,"Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great."
Ses02F_impro03_M021,You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--
Ses02F_impro03_F025,You approve?  You approve?
Ses02F_impro03_M022,"Oh, I approve. I-[LAUGHTER]-I more than approve."
Ses02F_impro03_M023,"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--"
Ses02F_impro03_F026,"Yeah, it's pretty good."
Ses02F_impro03_M024,"Well--can--I mean, let me know--I want- I want invitations and--"
Ses02F_impro03_F027,"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors."
Ses02F_impro03_M025,"Oh, yes.  This is the whole [GARBAGE]"
Ses02F_impro03_F028,"It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure."
Ses02F_impro03_F029,She'll be like--flowers and the--
Ses02F_impro03_M026,"It'll be good.  Wow, that's great."
Ses02F_impro03_F030,"Oh, thank you. [LAUGHTER]"
Ses02F_impro04_M000,"So, uh, so how's it been going?  I mean, you have any needs or anything?"
Ses02F_impro04_F000,I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--
Ses02F_impro04_M001,"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't"
Ses02F_impro04_F001,"Yeah, but it--I mean it's the same response you get over and over again.  Like--"
Ses02F_impro04_F002,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready."
Ses02F_impro04_M002,"Yeah--I know what you mean.  I've gone through like similar stuff, but--"
Ses02F_impro04_F003,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--"
Ses02F_impro04_M003,"No, come on.  Don't [GARBAGE]"
Ses02F_impro04_F004,"I just--I can't do it anymore.  Like, it just takes it out of you--"
Ses02F_impro04_M004,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--"
Ses02F_impro04_F005,I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.
Ses02F_impro04_M005,"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive."
Ses02F_impro04_F006,"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--"
Ses02F_impro04_M006,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot..."
Ses02F_impro04_M007,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know
Ses02F_impro04_F007,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand."
Ses02F_impro04_M008,"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--"
Ses02F_impro04_F008,"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--"
Ses02F_impro04_M009,"But you gotta.  Otherwise, what is--what's your other option?"
Ses02F_impro04_F009,I feel so worthless.
