session,utterance_num,id,start,end,utterance,label,file_id,label_num
Session1,0,Ses01F_impro01_F000,006.2901,008.2357,Excuse me.,neu,Ses01F_impro01,3
Session1,1,Ses01F_impro01_M000,007.5712,010.4750,Do you have your forms?,fru,Ses01F_impro01,5
Session1,2,Ses01F_impro01_F001,010.0100,011.3925,Yeah.,neu,Ses01F_impro01,3
Session1,3,Ses01F_impro01_M001,010.9266,014.6649,Let me see them.,fru,Ses01F_impro01,5
Session1,4,Ses01F_impro01_F002,014.8872,018.0175,Is there a problem?,neu,Ses01F_impro01,3
Session1,5,Ses01F_impro01_M002,016.8352,019.7175,Who told you to get in this line?,fru,Ses01F_impro01,5
Session1,8,Ses01F_impro01_M003,023.4700,028.0300,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru,Ses01F_impro01,5
Session1,9,Ses01F_impro01_F005,027.4600,031.4900,Well what's the problem?  Let me change it.,neu,Ses01F_impro01,3
Session1,10,Ses01F_impro01_M004,028.3950,031.2117,This form is a Z.X.four.,fru,Ses01F_impro01,5
Session1,11,Ses01F_impro01_M005,031.2660,039.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru,Ses01F_impro01,5
Session1,12,Ses01F_impro01_F006,038.9650,043.5900,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru,Ses01F_impro01,5
Session1,13,Ses01F_impro01_M006,041.2300,046.9800,No. I need another set of ID to prove this is actually you.,fru,Ses01F_impro01,5
Session1,14,Ses01F_impro01_F007,046.5800,052.1900,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru,Ses01F_impro01,5
Session1,15,Ses01F_impro01_M007,051.4000,057.6400,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru,Ses01F_impro01,5
Session1,16,Ses01F_impro01_F008,056.1600,058.8225,I'm here to get an ID.,fru,Ses01F_impro01,5
Session1,17,Ses01F_impro01_M008,058.1800,062.5900,"No.  I need another ID, a separate one.",fru,Ses01F_impro01,5
Session1,18,Ses01F_impro01_F009,061.8700,065.9700,Like what?  Like a birth certificate?,fru,Ses01F_impro01,5
Session1,19,Ses01F_impro01_M009,065.5100,073.0000,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru,Ses01F_impro01,5
Session1,21,Ses01F_impro01_F011,072.4500,082.2600,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru,Ses01F_impro01,5
Session1,22,Ses01F_impro01_M010,081.5900,086.0300,"Yeah.  We keep it on file, but we need an ID to access that file.",fru,Ses01F_impro01,5
Session1,23,Ses01F_impro01_F012,085.2700,088.0200,That's out of control.,ang,Ses01F_impro01,0
Session1,24,Ses01F_impro01_M011,087.1500,094.3900,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,Ses01F_impro01,0
Session1,25,Ses01F_impro01_F013,093.6700,097.0218,How long have you been working here?,fru,Ses01F_impro01,5
Session1,27,Ses01F_impro01_F014,097.8900,102.9600,"Clearly.  You know, do you have like a supervisor or something?",neu,Ses01F_impro01,3
Session1,28,Ses01F_impro01_M013,101.8400,107.8700,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang,Ses01F_impro01,0
Session1,29,Ses01F_impro01_F015,103.9700,106.7100,That would - I would appreciate that.  Yeah.,fru,Ses01F_impro01,5
Session1,0,Ses01F_impro02_F000,007.2688,016.6000,Did you get the mail? So you saw my letter?,sad,Ses01F_impro02,2
Session1,2,Ses01F_impro02_F001,019.8500,022.7800,Yeah.  I know.,sad,Ses01F_impro02,2
Session1,3,Ses01F_impro02_M001,021.7600,027.5558,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,Ses01F_impro02,2
Session1,4,Ses01F_impro02_F002,026.5659,032.2895,I don't know.  I put in that. request too. They didn't...,sad,Ses01F_impro02,2
Session1,5,Ses01F_impro02_F003,032.3075,037.9600,"I guess, you know, everybody has to make sacrifices.",neu,Ses01F_impro02,3
Session1,7,Ses01F_impro02_F004,047.3400,053.1100,"There's people that have given more though, you know?",sad,Ses01F_impro02,2
Session1,8,Ses01F_impro02_M003,052.7100,059.0534,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru,Ses01F_impro02,5
Session1,9,Ses01F_impro02_F005,058.7500,061.3100,I know.,sad,Ses01F_impro02,2
Session1,11,Ses01F_impro02_F006,064.2550,068.4700,"There's babies over there, though, that need mothers.",neu,Ses01F_impro02,3
Session1,12,Ses01F_impro02_M005,069.3400,074.2900,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,Ses01F_impro02,2
Session1,15,Ses01F_impro02_F008,087.2031,091.0900,"Just, you know, kicking myself.",sad,Ses01F_impro02,2
Session1,17,Ses01F_impro02_F010,097.9400,102.1900,things just aren't what they seem.,sad,Ses01F_impro02,2
Session1,20,Ses01F_impro02_M008,110.5653,113.2000,I know.,fru,Ses01F_impro02,5
Session1,21,Ses01F_impro02_M009,114.1775,117.8500,I just don't see why it has to be you.,sad,Ses01F_impro02,2
Session1,22,Ses01F_impro02_F012,117.8300,120.8605,"If not me then, who?",sad,Ses01F_impro02,2
Session1,23,Ses01F_impro02_M010,120.4105,124.6300,What am I going to do? Huh?,sad,Ses01F_impro02,2
Session1,24,Ses01F_impro02_F013,127.8200,133.9455,"You'll videotape everything, yeah?",sad,Ses01F_impro02,2
Session1,25,Ses01F_impro02_M011,133.8800,137.1000,Yeah.,sad,Ses01F_impro02,2
Session1,26,Ses01F_impro02_F014,139.0300,146.4300,"Maybe you can send it to me, like stream it, yeah?",sad,Ses01F_impro02,2
Session1,27,Ses01F_impro02_M012,147.0300,151.7101,Don't you guys have access to computers over there.,neu,Ses01F_impro02,3
Session1,28,Ses01F_impro02_F015,151.4221,155.0100,Last month--  Yeah.,sad,Ses01F_impro02,2
Session1,29,Ses01F_impro02_M013,157.9800,162.7100,I just don't know how I'm going to do it without you.,sad,Ses01F_impro02,2
Session1,30,Ses01F_impro02_F016,163.5400,165.7300,I have to find sitters.,neu,Ses01F_impro02,3
Session1,31,Ses01F_impro02_M014,164.8850,169.5000,I can't raise a baby by myself.  How?,sad,Ses01F_impro02,2
Session1,32,Ses01F_impro02_F017,169.3600,176.0150,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,Ses01F_impro02,2
Session1,33,Ses01F_impro02_M015,175.4700,176.7200,I know.,neu,Ses01F_impro02,3
Session1,34,Ses01F_impro02_F018,176.0800,179.1300,And your mother is close by.,neu,Ses01F_impro02,3
Session1,35,Ses01F_impro02_F019,182.8300,185.8894,I'll send you lots of letters.,sad,Ses01F_impro02,2
Session1,36,Ses01F_impro02_F020,186.5800,191.1100,And I want lots and lots and lots of pictures.,sad,Ses01F_impro02,2
Session1,37,Ses01F_impro02_M016,195.1047,199.5200,It's just not fair.,fru,Ses01F_impro02,5
