Dialogue_ID,Utterance_ID,Speaker,Original_Emotion,Predicted_Emotion
174,0,1st Customer,joy,Joy
174,2,2nd Customer,joy,Joy
174,4,3rd Customer,neutral,Neutral
174,6,3rd Customer,sadness,Disgust
139,1,A Female Student,neutral,Neutral
531,0,A Student,surprise,Surprise
635,6,Airline Employee,neutral,Neutral
635,8,Airline Employee,neutral,Neutral
665,10,Alice,neutral,Neutral
665,13,Alice,neutral,Neutral
665,14,Alice,neutral,Sadness
139,4,All,surprise,Surprise
142,1,All,joy,Joy
199,7,All,surprise,Joy
315,6,All,joy,Joy
331,5,All,neutral,Sadness
389,2,All,joy,Joy
409,4,All,neutral,Joy
431,0,All,joy,Joy
446,9,All,neutral,Neutral
489,3,All,neutral,Neutral
559,1,All,neutral,Neutral
568,3,All,neutral,Joy
601,5,All,joy,Surprise
615,2,All,disgust,Sadness
615,3,All,anger,Anger
682,12,All,neutral,Neutral
697,7,All,surprise,Surprise
728,11,All,surprise,Joy
775,2,All,surprise,Surprise
775,10,All,surprise,Surprise
793,7,All,joy,Joy
823,0,All,neutral,Neutral
897,4,All,neutral,Neutral
897,9,All,surprise,Neutral
902,14,All,joy,Joy
910,2,All,joy,Joy
950,4,All,sadness,Sadness
992,0,All,neutral,Neutral
992,9,All,disgust,Anger
992,14,All,disgust,Anger
1010,3,All,disgust,Anger
1038,1,All,joy,Joy
1038,16,All,neutral,Neutral
960,1,Allesandro,neutral,Neutral
960,6,Allesandro,anger,Joy
960,8,Allesandro,neutral,Neutral
960,10,Allesandro,neutral,Anger
602,1,Angela,joy,Joy
602,3,Angela,joy,Joy
602,5,Angela,neutral,Neutral
703,1,Angela,neutral,Neutral
353,1,Annabelle,neutral,Neutral
662,3,Annabelle,neutral,Neutral
662,5,Annabelle,neutral,Neutral
844,18,Another Scientist,neutral,Neutral
844,20,Another Scientist,fear,Fear
844,11,Another Tour Guide,anger,Fear
861,1,Aunt Lillian,sadness,Sadness
296,16,Barry,neutral,Neutral
296,18,Barry,neutral,Joy
296,20,Barry,neutral,Neutral
301,0,Barry,fear,Fear
301,2,Barry,fear,Fear
301,3,Barry,neutral,Neutral
301,4,Barry,fear,Fear
457,1,Barry,neutral,Neutral
457,4,Barry,neutral,Joy
457,6,Barry,joy,Joy
457,7,Barry,sadness,Sadness
457,8,Barry,sadness,Sadness
457,11,Barry,neutral,Joy
547,1,Barry,neutral,Neutral
669,0,Barry,neutral,Neutral
669,2,Barry,joy,Joy
669,4,Barry,neutral,Sadness
541,9,Ben,joy,Joy
603,1,Ben,neutral,Neutral
603,3,Ben,joy,Joy
634,7,Ben,anger,Anger
695,0,Ben,disgust,Anger
695,2,Ben,joy,Anger
695,4,Ben,joy,Anger
695,6,Ben,joy,Anger
1029,0,Ben,surprise,Surprise
1029,2,Ben,joy,Joy
1029,4,Ben,joy,Neutral
1029,13,Ben,neutral,Neutral
301,1,Bernice,fear,Fear
457,3,Bernice,neutral,Neutral
62,1,Bob,joy,Joy
62,3,Bob,joy,Joy
703,2,Bob,neutral,Neutral
707,15,Bob,neutral,Neutral
729,1,Bob,joy,Neutral
54,6,Bobby,joy,Joy
54,20,Bobby,joy,Neutral
457,10,Bobby,neutral,Neutral
457,13,Bobby,fear,Anger
187,2,Bonnie,joy,Joy
187,4,Bonnie,neutral,Neutral
187,6,Bonnie,neutral,Neutral
187,9,Bonnie,joy,Joy
466,4,Both,neutral,Neutral
803,0,Boy in the Cape,anger,Anger
821,13,Burt,joy,Joy
17,7,Caitlin,joy,Joy
17,9,Caitlin,joy,Joy
410,0,Carl,disgust,Anger
410,8,Carl,neutral,Anger
815,1,Carl,neutral,Neutral
815,3,Carl,neutral,Neutral
26,2,Carol,surprise,Surprise
206,2,Carol,neutral,Neutral
206,4,Carol,anger,Fear
206,9,Carol,anger,Anger
206,13,Carol,anger,Anger
206,14,Carol,anger,Anger
206,18,Carol,anger,Anger
225,0,Carol,disgust,Anger
225,2,Carol,joy,Fear
225,6,Carol,joy,Joy
225,8,Carol,neutral,Neutral
225,10,Carol,neutral,Neutral
296,2,Carol,neutral,Neutral
296,6,Carol,neutral,Neutral
296,10,Carol,neutral,Neutral
296,12,Carol,neutral,Neutral
296,14,Carol,surprise,Surprise
306,3,Carol,joy,Sadness
306,4,Carol,neutral,Joy
306,6,Carol,joy,Joy
363,0,Carol,neutral,Neutral
364,0,Carol,neutral,Neutral
541,1,Carol,joy,Joy
541,3,Carol,surprise,Neutral
541,13,Carol,surprise,Neutral
541,19,Carol,joy,Joy
629,0,Carol,neutral,Neutral
659,2,Carol,neutral,Surprise
659,9,Carol,neutral,Neutral
752,0,Carol,neutral,Neutral
752,2,Carol,joy,Joy
752,4,Carol,joy,Joy
752,6,Carol,joy,Joy
752,10,Carol,joy,Joy
849,3,Carol,neutral,Neutral
849,11,Carol,joy,Neutral
915,7,Carol,fear,Surprise
915,9,Carol,fear,Fear
954,1,Carol,neutral,Neutral
954,3,Carol,neutral,Neutral
1016,4,Carol,joy,Joy
1016,6,Carol,neutral,Neutral
1016,15,Carol,neutral,Neutral
1016,17,Carol,neutral,Neutral
1016,18,Carol,anger,Anger
1016,20,Carol,neutral,Neutral
884,0,Casey,neutral,Neutral
884,2,Casey,joy,Joy
99,12,Cassie,neutral,Neutral
99,14,Cassie,neutral,Neutral
99,16,Cassie,neutral,Neutral
534,1,Cassie,neutral,Joy
534,3,Cassie,surprise,Surprise
726,0,Cassie,sadness,Neutral
726,2,Cassie,joy,Neutral
726,4,Cassie,surprise,Joy
726,6,Cassie,joy,Neutral
972,1,Cassie,neutral,Neutral
972,3,Cassie,neutral,Neutral
972,8,Cassie,joy,Joy
972,10,Cassie,surprise,Surprise
868,0,Cecilia,anger,Anger
868,2,Cecilia,neutral,Anger
0,0,Chandler,neutral,Neutral
0,2,Chandler,neutral,Neutral
0,4,Chandler,surprise,Neutral
0,6,Chandler,neutral,Neutral
0,8,Chandler,neutral,Neutral
0,10,Chandler,fear,Fear
0,12,Chandler,surprise,Surprise
2,0,Chandler,neutral,Neutral
2,2,Chandler,joy,Joy
2,4,Chandler,surprise,Surprise
2,6,Chandler,disgust,Sadness
2,8,Chandler,neutral,Neutral
2,10,Chandler,joy,Joy
2,12,Chandler,joy,Disgust
3,1,Chandler,surprise,Surprise
6,0,Chandler,joy,Joy
6,2,Chandler,joy,Joy
6,4,Chandler,neutral,Neutral
6,6,Chandler,joy,Joy
6,8,Chandler,surprise,Surprise
6,14,Chandler,sadness,Fear
6,15,Chandler,sadness,Sadness
6,16,Chandler,sadness,Sadness
6,17,Chandler,surprise,Surprise
6,18,Chandler,anger,Surprise
6,19,Chandler,anger,Surprise
6,20,Chandler,anger,Anger
6,21,Chandler,anger,Neutral
8,2,Chandler,neutral,Neutral
8,4,Chandler,joy,Neutral
8,6,Chandler,joy,Joy
9,0,Chandler,neutral,Neutral
9,3,Chandler,joy,Joy
9,5,Chandler,neutral,Neutral
9,7,Chandler,neutral,Neutral
9,9,Chandler,joy,Joy
9,11,Chandler,neutral,Neutral
9,13,Chandler,anger,Disgust
11,3,Chandler,joy,Joy
12,0,Chandler,neutral,Surprise
12,2,Chandler,disgust,Disgust
12,4,Chandler,disgust,Anger
12,8,Chandler,surprise,Fear
12,10,Chandler,disgust,Neutral
