session,utterance_num,id,start,end,utterance,label,file_id,label_num
Session1,0,Ses01F_impro01_F000,6.2901,8.2357,Excuse me.,neu,Ses01F_impro01,3.0
Session1,1,Ses01F_impro01_M000,7.5712,10.475,Do you have your forms?,-1,Ses01F_impro01,
Session1,2,Ses01F_impro01_F001,10.01,11.3925,Yeah.,neu,Ses01F_impro01,3.0
Session1,3,Ses01F_impro01_M001,10.9266,14.6649,Let me see them.,-1,Ses01F_impro01,
Session1,4,Ses01F_impro01_F002,14.8872,18.0175,Is there a problem?,neu,Ses01F_impro01,3.0
Session1,5,Ses01F_impro01_M002,16.8352,19.7175,Who told you to get in this line?,-1,Ses01F_impro01,
Session1,6,Ses01F_impro01_F003,19.29,20.7875,You did.,-1,Ses01F_impro01,
Session1,7,Ses01F_impro01_F004,21.3257,24.74,You were standing at the beginning and you directed me.,-1,Ses01F_impro01,
Session1,8,Ses01F_impro01_M003,23.47,28.03,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,-1,Ses01F_impro01,
Session1,9,Ses01F_impro01_F005,27.46,31.49,Well what's the problem?  Let me change it.,neu,Ses01F_impro01,3.0
Session1,10,Ses01F_impro01_M004,28.395,31.2117,This form is a Z.X.four.,-1,Ses01F_impro01,
Session1,11,Ses01F_impro01_M005,31.266,39.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",-1,Ses01F_impro01,
Session1,12,Ses01F_impro01_F006,38.965,43.59,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,-1,Ses01F_impro01,
Session1,13,Ses01F_impro01_M006,41.23,46.98,No. I need another set of ID to prove this is actually you.,-1,Ses01F_impro01,
Session1,14,Ses01F_impro01_F007,46.58,52.19,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,-1,Ses01F_impro01,
Session1,15,Ses01F_impro01_M007,51.4,57.64,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,-1,Ses01F_impro01,
Session1,16,Ses01F_impro01_F008,56.16,58.8225,I'm here to get an ID.,-1,Ses01F_impro01,
Session1,17,Ses01F_impro01_M008,58.18,62.59,"No.  I need another ID, a separate one.",-1,Ses01F_impro01,
Session1,18,Ses01F_impro01_F009,61.87,65.97,Like what?  Like a birth certificate?,-1,Ses01F_impro01,
Session1,19,Ses01F_impro01_M009,65.51,73.0,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",-1,Ses01F_impro01,
Session1,20,Ses01F_impro01_F010,66.42,69.34,Who the hell has a birth certificate?,-1,Ses01F_impro01,
Session1,21,Ses01F_impro01_F011,72.45,82.26,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",-1,Ses01F_impro01,
Session1,22,Ses01F_impro01_M010,81.59,86.03,"Yeah.  We keep it on file, but we need an ID to access that file.",-1,Ses01F_impro01,
Session1,23,Ses01F_impro01_F012,85.27,88.02,That's out of control.,ang,Ses01F_impro01,0.0
Session1,24,Ses01F_impro01_M011,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,Ses01F_impro01,0.0
Session1,25,Ses01F_impro01_F013,93.67,97.0218,How long have you been working here?,-1,Ses01F_impro01,
Session1,26,Ses01F_impro01_M012,95.86,98.68,Actually too long.,-1,Ses01F_impro01,
