Dialogue_ID,Utterance_ID,Speaker,Original_Emotion,Predicted_Emotion
914,0,Monica,joy,Joy
914,1,Rachel,neutral,Neutral
914,2,Monica,neutral,Neutral
915,0,Monica,neutral,Neutral
915,1,Rachel,neutral,Neutral
915,2,Joey,neutral,Neutral
915,3,Chandler,fear,Fear
915,4,Chandler,fear,Fear
915,5,Dr. Franzblau,neutral,Neutral
915,6,Nurse,neutral,Neutral
915,7,Carol,fear,Anger
915,8,Dr. Franzblau,neutral,Neutral
915,9,Carol,fear,Sadness
916,0,Ross,joy,Neutral
916,1,Mona,neutral,Neutral
916,2,Ross,joy,Neutral
916,3,Ross,joy,Neutral
916,4,Mona,neutral,Neutral
916,5,Ross,neutral,Neutral
916,6,Ross,joy,Neutral
916,7,Ross,neutral,Neutral
916,8,Ross,surprise,Neutral
916,9,Ross,neutral,Neutral
916,10,Ross,joy,Neutral
916,11,Ross,neutral,Neutral
916,12,Ross,fear,Fear
916,13,Mona,sadness,Anger
917,0,Chandler,neutral,Neutral
917,1,Chandler,joy,Joy
917,2,Chandler,joy,Joy
917,3,Chandler,anger,Surprise
917,4,Chandler,surprise,Surprise
917,5,Chandler,joy,Joy
918,0,Phoebe,neutral,Neutral
918,1,Chandler,neutral,Fear
918,2,Joey,neutral,Joy
918,3,Chandler,neutral,Anger
918,4,Phoebe,surprise,Surprise
918,5,Chandler,anger,Sadness
918,6,Chandler,neutral,Sadness
918,7,Phoebe,anger,Anger
918,8,Phoebe,sadness,Anger
918,9,Phoebe,anger,Anger
918,10,Phoebe,anger,Joy
918,11,Phoebe,sadness,Surprise
918,12,Phoebe,neutral,Joy
919,0,Ross,surprise,Anger
919,1,Emily,neutral,Neutral
920,0,Student,sadness,Fear
920,1,Joey,surprise,Surprise
920,2,Student,neutral,Neutral
920,3,Joey,surprise,Surprise
920,4,Student,neutral,Neutral
921,0,Phoebe,surprise,Surprise
921,1,Eric,fear,Fear
921,2,Phoebe,surprise,Anger
921,3,Eric,sadness,Neutral
921,4,Phoebe,disgust,Disgust
921,5,Eric,sadness,Fear
921,6,Eric,fear,Fear
921,7,Eric,sadness,Disgust
921,8,Phoebe,sadness,Sadness
921,9,Eric,sadness,Sadness
921,10,Phoebe,anger,Neutral
922,0,Phoebe,joy,Neutral
922,1,Rachel,neutral,Neutral
922,2,Phoebe,neutral,Neutral
922,3,Rachel,sadness,Sadness
922,4,Phoebe,neutral,Neutral
922,5,Rachel,surprise,Surprise
922,6,Phoebe,neutral,Neutral
922,7,Rachel,neutral,Neutral
922,8,Phoebe,neutral,Neutral
923,0,Rachel,neutral,Neutral
923,1,Chandler,sadness,Neutral
923,2,Janice,fear,Joy
923,3,Chandler,joy,Neutral
923,4,Janice,sadness,Joy
923,5,Chandler,disgust,Sadness
923,6,Janice,surprise,Surprise
923,7,Chandler,neutral,Neutral
923,8,Janice,joy,Fear
923,9,Chandler,anger,Anger
923,10,Janice,anger,Neutral
923,11,Chandler,neutral,Neutral
923,12,Janice,sadness,Joy
923,13,Chandler,joy,Neutral
924,0,Phoebe,joy,Joy
924,1,Joey,joy,Neutral
