Dialogue_ID,Utterance_ID,Speaker,Original_Emotion,Predicted_Emotion
0,0,Chandler,neutral,Neutral
0,1,The Interviewer,neutral,Neutral
0,2,Chandler,neutral,Neutral
0,3,The Interviewer,neutral,Neutral
0,4,Chandler,surprise,Neutral
0,5,The Interviewer,neutral,Neutral
0,6,Chandler,neutral,Neutral
0,7,The Interviewer,neutral,Neutral
0,8,Chandler,neutral,Neutral
0,9,The Interviewer,neutral,Neutral
0,10,Chandler,fear,Fear
0,11,The Interviewer,neutral,Joy
0,12,Chandler,surprise,Surprise
0,13,The Interviewer,neutral,Joy
1,0,Joey,surprise,Surprise
1,1,Rachel,sadness,Anger
1,2,Joey,surprise,Fear
1,3,Rachel,fear,Sadness
1,4,Joey,neutral,Neutral
1,5,Joey,neutral,Neutral
1,8,Rachel,neutral,Neutral
2,0,Chandler,neutral,Neutral
2,1,Monica,neutral,Neutral
2,2,Chandler,joy,Joy
2,3,Monica,sadness,Sadness
2,4,Chandler,surprise,Surprise
2,5,Monica,neutral,Sadness
2,6,Chandler,disgust,Anger
2,7,Monica,sadness,Neutral
2,8,Chandler,neutral,Neutral
2,9,Monica,neutral,Neutral
2,10,Chandler,joy,Joy
2,11,Monica,neutral,Neutral
2,12,Chandler,joy,Disgust
3,0,Phoebe,surprise,Fear
3,1,Chandler,surprise,Surprise
3,2,Phoebe,surprise,Surprise
3,3,Phoebe,neutral,Disgust
3,4,Phoebe,neutral,Neutral
3,5,Phoebe,neutral,Disgust
3,6,Phoebe,surprise,Anger
3,8,Phoebe,sadness,Sadness
3,9,Joey,neutral,Neutral
4,0,Rachel,surprise,Joy
4,1,Ross,joy,Joy
4,2,Rachel,surprise,Surprise
4,3,Ross,neutral,Neutral
4,4,Rachel,neutral,Neutral
4,5,Ross,neutral,Neutral
4,6,Rachel,neutral,Neutral
4,7,Ross,neutral,Neutral
4,8,Rachel,joy,Joy
4,9,Ross,joy,Joy
4,10,Rachel,joy,Joy
4,11,Ross,sadness,Sadness
4,12,Rachel,neutral,Neutral
4,13,Ross,neutral,Neutral
4,14,Rachel,neutral,Neutral
5,0,Phoebe,neutral,Neutral
5,1,Joey,neutral,Neutral
5,2,Phoebe,neutral,Neutral
5,3,Sergei,surprise,Joy
6,0,Chandler,joy,Joy
6,1,Joey,surprise,Joy
6,2,Chandler,joy,Joy
6,3,Joey,neutral,Fear
6,4,Chandler,neutral,Fear
6,5,Joey,anger,Anger
6,6,Chandler,joy,Fear
6,7,Joey,neutral,Neutral
6,8,Chandler,surprise,Surprise
6,9,Joey,anger,Anger
6,10,Joey,anger,Anger
6,11,Joey,anger,Sadness
6,12,Joey,neutral,Sadness
6,13,Joey,neutral,Sadness
6,14,Chandler,sadness,Fear
6,15,Chandler,sadness,Sadness
6,16,Chandler,sadness,Sadness
6,17,Chandler,surprise,Fear
6,18,Chandler,anger,Surprise
6,19,Chandler,anger,Surprise
6,20,Chandler,anger,Fear
6,21,Chandler,anger,Joy
7,0,Joey,neutral,Neutral
7,1,Ross,anger,Anger
8,0,Phoebe,neutral,Fear
8,1,Phoebe,neutral,Fear
8,2,Chandler,neutral,Anger
8,3,Customer,neutral,Neutral
8,4,Chandler,joy,Joy
8,5,Customer,neutral,Neutral
8,6,Chandler,joy,Joy
9,0,Chandler,neutral,Neutral
9,1,Jade,neutral,Joy
9,2,Jade,neutral,Joy
9,3,Chandler,joy,Joy
9,4,Ross,neutral,Neutral
9,5,Chandler,neutral,Neutral
9,6,Jade,neutral,Joy
9,7,Chandler,neutral,Joy
9,8,Jade,neutral,Joy
9,9,Chandler,joy,Joy
9,10,Ross,neutral,Neutral
9,11,Chandler,neutral,Neutral
9,12,Ross,disgust,Surprise
9,13,Chandler,anger,Sadness
10,0,Phoebe,anger,Anger
10,1,Phoebe,anger,Anger
10,2,Phoebe,anger,Disgust
10,3,Phoebe,anger,Surprise
10,4,Phoebe,anger,Disgust
10,5,Monica,neutral,Neutral
11,0,Ross,neutral,Anger
11,1,Monica,anger,Anger
11,2,Ross,neutral,Neutral
11,3,Chandler,joy,Joy
11,4,Phoebe,neutral,Neutral
11,5,Phoebe,neutral,Neutral
11,6,Ross,joy,Joy
11,7,Joey,joy,Joy
11,8,Joey,joy,Joy
11,9,Phoebe,joy,Sadness
12,0,Chandler,neutral,Joy
12,1,Joey,joy,Joy
12,2,Chandler,disgust,Neutral
12,3,Joey,surprise,Surprise
12,4,Chandler,disgust,Neutral
12,5,Joey,neutral,Neutral
12,6,Joey,fear,Fear
12,7,Joey,neutral,Neutral
12,8,Chandler,surprise,Fear
12,9,Joey,fear,Anger
12,10,Chandler,disgust,Neutral
12,11,Joey,anger,Anger
13,0,Mona,joy,Joy
13,1,Ross,neutral,Neutral
