Dialogue_ID,Utterance_ID,Original_Emotion,Predicted_Emotion
Ses02F_impro01_,Ses02F_impro01_F000,neutral,neutral
Ses02F_impro01_,Ses02F_impro01_M000,neutral,neutral
Ses02F_impro01_,Ses02F_impro01_M001,neutral,neutral
Ses02F_impro01_,Ses02F_impro01_F001,sur,neutral
Ses02F_impro01_,Ses02F_impro01_M002,neutral,neutral
Ses02F_impro01_,Ses02F_impro01_F002,xxx,neutral
Ses02F_impro01_,Ses02F_impro01_M003,xxx,neutral
Ses02F_impro01_,Ses02F_impro01_F003,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F004,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F005,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M004,neutral,sad
Ses02F_impro01_,Ses02F_impro01_M005,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F006,fru,angry
Ses02F_impro01_,Ses02F_impro01_F007,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M006,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M007,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F008,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F009,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M008,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M009,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F010,fru,angry
Ses02F_impro01_,Ses02F_impro01_M010,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F011,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M011,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F012,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M012,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F013,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M013,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F014,fru,angry
Ses02F_impro01_,Ses02F_impro01_M014,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F015,fru,sad
Ses02F_impro01_,Ses02F_impro01_M015,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F016,fru,sad
Ses02F_impro01_,Ses02F_impro01_M016,xxx,neutral
Ses02F_impro01_,Ses02F_impro01_F017,fru,angry
Ses02F_impro01_,Ses02F_impro01_M017,angry,neutral
Ses02F_impro01_,Ses02F_impro01_F018,angry,angry
Ses02F_impro01_,Ses02F_impro01_M018,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M019,angry,neutral
Ses02F_impro01_,Ses02F_impro01_F019,angry,angry
Ses02F_impro01_,Ses02F_impro01_M020,fru,angry
Ses02F_impro01_,Ses02F_impro01_F020,angry,neutral
Ses02F_impro01_,Ses02F_impro01_M021,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F021,angry,neutral
Ses02F_impro01_,Ses02F_impro01_M022,fru,neutral
